"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"BRK1025","Imposter Syndrome banishing spell","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Dona Sarkar
Jeremiah Marble
","Microsoft
Microsoft
","imposter syndrome banishing spell"
"BRK3105","Connect your workforce to all the apps they need with Azure Active Directory","Security","Customer Showcase","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Luis Carlos Leon Plata
Agnieszka Girling
Joseph Martinez
Jeffrey Sakowicz
","Microsoft
Microsoft
Mattress Firm
Microsoft
","connect your workforce to all the apps they need with azure active directory"
"BRK3112","Love all your identities – Building digital relationships with your customers and partners","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
","Elisabeth Olson
Jose Antonio Rojas
","Microsoft
Microsoft
","love all your identities – building digital relationships with your customers and partners"
"THR2201","Reduce IT friction with seamless identity end-user experiences","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
","Kalila Simpson
","Microsoft
","reduce it friction with seamless identity end-user experiences"
"THR3078","Migrate to modern authentication with Azure Active Directory","Security","Session","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Jairo Cadena
Jithesh Raj
","Microsoft
Microsoft
","migrate to modern authentication with azure active directory"
"BRK3252","Windows Server on Azure overview: Lift-and-shift migrations for enterprise workloads","Infrastructure","Session","Advanced (300)","Azure	Compute
Azure
","Rob Hindman
Elden Christensen
","Microsoft
Microsoft
","windows server on azure overview: lift-and-shift migrations for enterprise workloads"
"BRK3185","Securing your cloud perimeter with Azure Network Security","Security","Session","Advanced (300)","Azure	Security
Azure
Azure	Networking
","Sinead ODonovan
","Microsoft
","securing your cloud perimeter with azure network security"
"BRK2218","Dynamics 365 Sales and Sales Insights Roadmap: A vision for meeting the demands of the modern buyer","Customer Success","Session","Intermediate (200)","Dynamics 365	Sales
Dynamics 365
Dynamics 365	Field Service
","Daniel Dallala
Miriam Ney
","Microsoft
Microsoft
","dynamics 365 sales and sales insights roadmap: a vision for meeting the demands of the modern buyer"
"BRK3243","Building the future of sales with Dynamics 365","Customer Success","Session","Advanced (300)","Dynamics 365	Sales
Dynamics 365
Dynamics 365	Field Service
","Daniel Dallala
Miriam Ney
","Microsoft
Microsoft
","building the future of sales with dynamics 365"
"DYNA10","Dynamics 365: Establish and administer a cross organization business applications strategy","Deployment","Session","Intermediate (200)","Dynamics 365
Dynamics 365	Sales
Dynamics 365	Marketing
Dynamics 365	Customer Service
Dynamics 365	Retail and Commerce
Dynamics 365	Finance and Operations
Dynamics 365	Field Service
Dynamics 365	Customer Engagement
Dynamics 365	Business Central
Dynamics 365	Talent
Dynamics 365	Project Service Automation
Dynamics 365	Supply Chain Management
Dynamics 365	Product Visualize
Dynamics 365	Customer Service Insights
Dynamics 365	Customer Insights
Dynamics 365	Virtual Agent for Customer Service
Dynamics 365	Sales Insights
Dynamics 365	Market Insights
Dynamics 365	Fraud Protection
Dynamics 365	Remote Assist
Dynamics 365	Guides
Dynamics 365	Portals
Dynamics 365	Layout
Dynamics 365	Forms Pro
","Eric Boocock
","Microsoft
","dynamics 365: establish and administer a cross organization business applications strategy"
"DYNA50","Configuring and managing Dynamics 365 Retail: Enable connected retail","Deployment","Session","Intermediate (200)","Dynamics 365	Retail and Commerce
Dynamics 365
","Ashish Harchwani
","Microsoft
","configuring and managing dynamics 365 retail: enable connected retail"
"BRK2159","Tech for social impact: The road ahead","Thought Leadership","Session","Intermediate (200)","","Trisha McDonald
Ryan Eckardt
","Microsoft
Microsoft
","tech for social impact: the road ahead"
"BRK1070","Accelerating your IT career","Thought Leadership","Session","Foundational (100)","","Ned Pyle
","Microsoft
","accelerating your it career"
"BRK3177","Virtual Machine Manager 2019 and Data Protection Manager 2019: Customer success stories and what’s next","Infrastructure","Customer Showcase","Advanced (300)","Azure	Compute
Azure
","Vithalprasad Gaitonde
Brian Garbus
Christoph Pfurtscheller
","Microsoft
Nestle
bwin
","virtual machine manager 2019 and data protection manager 2019: customer success stories and what’s next"
"BRK3226","Every team, connected: Develop Microsoft Teams apps with Microsoft Graph","Productivity","Session","Advanced (300)","Microsoft 365
Microsoft 365	Advanced Analytics
Microsoft 365	Advanced Compliance
Microsoft 365	Applications
Microsoft 365	Device and Application Management
Microsoft 365	Email and Calendar
Microsoft 365	Files and Content
Microsoft 365	Identity and Access Management
Microsoft 365	Information Protection
Microsoft 365	Meetings and Voice
Microsoft 365	Operating System 
Microsoft 365	Security Management
Microsoft 365	Social and Intranet
Microsoft 365	Task Management
Microsoft 365	Threat Protection
","Bill Bliss
","Microsoft
","every team, connected: develop microsoft teams apps with microsoft graph"
"APPS50","Taking your app to the next level with monitoring, performance, and scaling","Tooling","Session","Advanced (300)","","Burke Holland
","Microsoft
","taking your app to the next level with monitoring, performance, and scaling"
"MLS1050","What best practices are used in Azure when deploying changes?","Productivity","Interview","Foundational (100)","Azure	Azure General
Azure
","Cristina del Amo Casado
Rick Claus
","Microsoft
Microsoft
","what best practices are used in azure when deploying changes?"
"MLS1051","Recap of Day 3 + Kick Off Day 4","Fundamentals","Interview","Foundational (100)","Not Product Specific
","Anthony Bartolo
Phoummala Schmitt
","Microsoft - @WirelessLife
Microsoft
","recap of day 3 + kick off day 4"
"MLS1054","Scaling modern workplace to the max: How Accenture deployed Microsoft Teams to half a million employees","Customer Success","Interview","Foundational (100)","Not Product Specific
","Jason Warnke
Wictor Wilén
Tony Leraris
Anthony Bartolo
","Accenture
Avanade
Accenture
Microsoft - @WirelessLife
","scaling modern workplace to the max: how accenture deployed microsoft teams to half a million employees"
"MLS1074","Microsoft Edge and Microsoft Bing","Development","Interview","Foundational (100)","Microsoft 365	Microsoft 365 General
Microsoft 365
","Yusuf Mehdi
","
","microsoft edge and microsoft bing"
"THR2002R","Authentication without passwords in 20 minutes (Repeat)","","","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
Microsoft 365	Security Management
","Brian Reid
","NBConsult
","authentication without passwords in 20 minutes (repeat)"
"THR1142","Time to Play Offense With Your E-Discovery","Compliance","","Foundational (100)","Microsoft 365	Advanced Compliance
Microsoft 365
","Michael Youmans
","Mimecast
","time to play offense with your e-discovery"
"PRE26","Building modern enterprise productivity apps on the Microsoft 365 platform","Development","Session","Intermediate (200)","","Vesa Juvonen
Jeremy Thake
Matt Hidinger
Ben Summers
Joey Glocke
","Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
","building modern enterprise productivity apps on the microsoft 365 platform"
"KEY01","Vision Keynote","Thought Leadership","Session","Foundational (100)","","Satya Nadella
","Microsoft
","vision keynote"
"PRE29","The developer’s guide to Microsoft identity","","","","","Bill Hughes
Kyle Marsh
","Microsoft
Microsoft
","the developer’s guide to microsoft identity"
"PRE16","The .NET developer's guide to Azure","","","","","Chris Roberts
Taylor Southwick
","Microsoft
Microsoft
","the .net developer's guide to azure"
"BRK2090","Will Microsoft Teams take over from email?","","","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Social and Intranet
Microsoft 365	Email and Calendar
Microsoft 365	Meetings and Voice
Microsoft 365	Task Management
","Tony Redmond
","Office 365 for IT Pros
","will microsoft teams take over from email?"
"BRK3144","The MVP guide to Office 365 security, Exchange Online edition","","","Advanced (300)","Microsoft 365	Email and Calendar
Microsoft 365
","Theresa Miller
","Cohesity
","the mvp guide to office 365 security, exchange online edition"
"BRK2096","Moving from reactive to proactive security in Azure","","","Intermediate (200)","Azure	Security
Azure
","Sami Laiho
","Adminize
","moving from reactive to proactive security in azure"
"THR2047","Real-world hybrid Active Directory join and compliance in 20 minutes","","","Intermediate (200)","Microsoft 365	Device and Application Management
Microsoft 365
Microsoft 365	Operating System 
","Brian Reid
","NBConsult
","real-world hybrid active directory join and compliance in 20 minutes"
"BRK3087","Best practices for deploying and managing Microsoft Office 365 ProPlus","Deployment","Session","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Meetings and Voice
Microsoft 365	Email and Calendar
","Amesh Mansukhani
Yana Terukhova
","Microsoft
Microsoft
","best practices for deploying and managing microsoft office 365 proplus"
"THR2050","Sport actions recognition in video using deep learning at scale","","","Intermediate (200)","Azure	AI + Machine Learning
Azure
Azure	Media
","Gianni Rosa Gallina
","Deltatre
","sport actions recognition in video using deep learning at scale"
"BRK1037","Let’s build a knowledgeable chatbot with Microsoft Bot Framework, Azure Bot Services, and QnA Maker","","","Foundational (100)","Microsoft 365	Social and Intranet
Microsoft 365
Azure	AI + Machine Learning
Azure
","Matthew Wade
","AtBot & jumpto365
","let’s build a knowledgeable chatbot with microsoft bot framework, azure bot services, and qna maker"
"BRK3277","EXAM PREP: AZ-500 | Microsoft Azure Security Technologies","Fundamentals","Exam Prep","Advanced (300)","Not Product Specific
","Gareth Jones
","go deploy Ltd
","exam prep: az-500 | microsoft azure security technologies"
"THR3043","Microsoft Teams and Office 365 Groups PowerShell MasterClass","","","Advanced (300)","Microsoft 365	Task Management
Microsoft 365
Microsoft 365	Identity and Access Management
","Martina Grom
Toni Pohl
","atwork gmbh
atwork
","microsoft teams and office 365 groups powershell masterclass"
"BRK3013","Modern Exchange IT admin experiences","Management","Session","Advanced (300)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Device and Application Management
Microsoft 365	Applications
Microsoft 365	Information Protection
Microsoft 365	Meetings and Voice
Microsoft 365	Task Management
Microsoft 365	Operating System 
Microsoft 365	Email and Calendar
Microsoft 365	Identity and Access Management
Microsoft 365	Social and Intranet
Microsoft 365	Security Management
Microsoft 365	Threat Protection
Microsoft 365	Advanced Analytics
Microsoft 365	Advanced Compliance
","Rahul Gupta
Eddie Savage
","Microsoft
Microsoft
","modern exchange it admin experiences"
"BRK2318","Harness the power of Bing Maps Location Insights in your Enterprise Applications","Intelligence","Session","Intermediate (200)","Dynamics 365	Customer Insights
Dynamics 365
Dynamics 365	Market Insights
Azure	Analytics
Azure
Azure	Developer Tools
","Dietmar Rabel
","Microsoft
","harness the power of bing maps location insights in your enterprise applications"
"BRK1074","Announcing Bing Maps Geospatial Analytics Platform Preview for Enterprise Business Planning","Intelligence","Session","Foundational (100)","Dynamics 365	Customer Insights
Dynamics 365
Dynamics 365	Market Insights
Azure	Developer Tools
Azure
Azure	Analytics
","Seshagiri Cherukuri
","Microsoft
","announcing bing maps geospatial analytics platform preview for enterprise business planning"
